image,text,,,,,
0.png,"پشاور،بنوں (نمائندہ جنگ،اے ایف پی) بنوں میں اقوام میراخیل اور 
",,,,,
1.png,"اسکے ساتھ ملحقہ علاقے کے عوام نے بجلی و گیس 
",,,,,
2.png,"کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ پولیس تشدد سے ایک نوجوان 
",,,,,
3.png,"منشور علی جاں بحق اور 2خواتین سمیت 14 افرادزخمی ہوگئے۔ 
",,,,,
4.png,"علاقے میں کرفیو نافذ کردیا گیا ہے۔ مکینوں نے الزام 
",,,,,
5.png,"لگایا کہ پولیس کی فائرنگ سے شہری ہلاک ہوا جبکہ 
",,,,,
6.png,"پولیس کا کہنا ہے کہ مظاہرین میں کسی نے ہم 
",,,,,
7.png,"پر براہ راست فائرنگ کی اور فائرنگ کے تبادلے کے 
",,,,,
8.png,"نتیجے میں ایک شہری ہلاک ہوگیا۔ تفصیلات کے مطابق بنوں 
",,,,,
9.png,"میں اقوام میراخیل اور اسکے ساتھ ملحقہ علاقے کے عوام 
",,,,,
10.png,"نے بجلی وگیس کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ مظاہرین نے 
",,,,,
11.png,"مظاہرہ کے دورا ن بنوں ڈیرہ روڈ بلاک کردی اورسڑک 
",,,,,
12.png,"خالی کرنے سے انکار کردیا، مظاہرین کو روڈ سے ہٹانے 
",,,,,
13.png,"کیلئے پولیس نے مظاہرین پر لاٹھی چارج اور فائرنگ کی 
",,,,,
14.png,"جس سے ایک نوجوان منشور علی جاں بحق اور 2 
",,,,,
15.png,"خواتین سمیت 14 افراد زخمی ہوئے۔ زخمیوں کو قریبی اسپتال 
",,,,,
16.png,"منتقل کردیا گیا۔ ۔بنوں اور ڈیرہ اسماعیل خان ضلع کو 
",,,,,
17.png,"ملانے والی مرکزی شاہراہ پر کرفیو نافذ کردیا گیا ہے۔بنوں 
",,,,,
18.png,"میں تشدد اس وقت شروع ہوا جب 500کے لگ بھگ 
",,,,,
19.png,"مظاہرین نے مصروف شاہراہ بلاک کردی اور خالی کرنے سے 
",,,,,
20.png,"انکار کردیا۔مظاہرین نے شاہراہ کو 3گھنٹے تک بلاک رکھا۔پولیس کا 
",,,,,
21.png,"کہنا ہے کہ ایک شخص فائرنگ کے تبادلے کے نتیجے 
",,,,,
22.png,"میں جاں بحق ہوا جبکہ مکینوں کا الزام ہے کہ 
",,,,,
23.png,"مظاہرین میں سے ایک شخص پولیس کی فائرنگ سے ہلاک 
",,,,,
24.png,"ہوا ہے۔بنوں کے ایک پولیس افسر نے اے ایف پی 
",,,,,
25.png,"کو بتایاکہ پولیس نے مظاہرین کو منتشر کرنے کیلئے لاٹھی 
",,,,,
26.png,"چارج اور آنسو گیس کے شیل فائر کئے جس کے 
",,,,,
27.png,"جواب میں مظاہرین نے پولیس پر پتھراؤ شروع کردیا۔بنوں کے 
",,,,,
28.png,"ایک اور پولیس افسر نے بتایا کہ فائرنگ پہلے مظاہرین 
",,,,,
29.png,"میں سے کسی نے پولیس پر براہ راست کی۔ انہوں 
",,,,,
30.png,"نے کہا کہ پولیس نے مظاہرین کو منتشر کرنے کیلئے 
",,,,,
31.png,"ہوائی فائرنگ کی ۔انہوں نے کہا کہ مظاہرین نے بجلی 
",,,,,
32.png,"کے گرڈ اسٹیشن پر حملہ کیا۔  
",,,,,
33.png,"کراچی ( اسٹاف رپورٹر ) متحدہ قومی موومنٹ کے قائد 
",,,,,
34.png,"الطاف حسین نے واضح اوردوٹوک الفاظ میں کہاہے کہ کوئی 
",,,,,
35.png,"بھی مسلمان اللہ تعالیٰ کے محبوب اور نبی آخرالزماں حضرت 
",,,,,
36.png,"محمدمصطفےٰ ﷺکی شان میں گستاخی کرنا تو کجا اس کا 
",,,,,
37.png,"تصور بھی نہیں کرسکتا، حتیٰ کہ پاکستان میں رہنے والی 
",,,,,
38.png,"اقلیتیں بھی سرکاردوعالم ﷺکی شان میں گستاخی نہیں کرسکتیں لہٰذا 
",,,,,
39.png,"میں تمام مسالک سے تعلق رکھنے والے مذہبی رہنماوٴں سے 
",,,,,
40.png,"درخواست کرتاہوں کہ وہ وزیراعظم یوسف رضاگیلانی کی اس واضح 
",,,,,
41.png,"یقین دہانی کے بعدکہ ناموس رسالت ﷺ کے قانون میں 
",,,,,
42.png,"کسی بھی قسم کی ترمیم یاتبدیلی نہیں کی جارہی ہے، 
",,,,,
43.png,"اپنے مظاہروں کاسلسلہ ختم کردیں۔ انہوں نے تمام تنظیمی ونگز 
",,,,,
44.png,"اور شعبہ جات کے ارکان سمیت تمام ذمہ داروں اورکارکنوں 
",,,,,
45.png,"سے کہاکہ وہ مذہبی رواداری اور فرقہ وارانہ ہم آہنگی 
",,,,,
46.png,"کے فروغ کیلئے گلی گلی کارنرمیٹنگز کا انعقاد کریں۔ انہوں 
",,,,,
47.png,"نے ان خیالات کا اظہار ایم کیوایم کے مرکز نائن 
",,,,,
48.png,"زیروپر ایم کیو ایم کے مختلف شعبہ جات کے ارکان 
",,,,,
49.png,"کے اجلاس سے ٹیلیفون پر خطاب کرتے ہوئے کیا۔ اپنے 
",,,,,
50.png,"فکرانگیز خطاب میں الطاف حسین نے کہاکہ اسلام کے معنے 
",,,,,
51.png,"’ امن اور سلامتی ‘ ہیں ،اسلام صرف مسلمانوں ہی 
",,,,,
52.png,"کے نہیں بلکہ تمام مذاہب کے احترام کا درس دیتاہے۔ 
",,,,,
53.png,"قرآن مجیدمیں اللہ تعالیٰ کافرمان بالکل واضح ہے کہ’ ترجمہ: 
",,,,,
54.png,"میرا دین میرے ساتھ، تمہارادین تمہارے ساتھ ‘۔ قرآن مجیدمیں 
",,,,,
55.png,"ایک اور جگہ اللہ تعالیٰ کا فرمان ہے کہ ’ 
",,,,,
56.png,"ترجمہ: دین میں کوئی جبر نہیں ‘۔ اللہ تعالیٰ اپنے 
",,,,,
57.png,"اس فرمان میں صاف لفظوں میں بتایا ہے کہ اسلام 
",,,,,
58.png,"جبراور انتہا پسندی کانہیں اعتدال پسندی کا درس دیتاہے ،مذہبی 
",,,,,
59.png,"انتہاپسندی اسلام کی تعلیمات کی نفی ہے۔ الطاف حسین نے 
",,,,,
60.png,"کہا کہ جہاں انتہاپسندی ہوگی وہاں امن وسلامتی اور اتحاد 
",,,,,
61.png,"نہیں بلکہ انتشار ہوگا،نفاق ہوگا، تشدد ہوگا اور قتل وغارتگری 
",,,,,
62.png,"ہوگی۔ انہوں نے کہاکہ اسلام توایسامذہب ہے جو نہ صرف 
",,,,,
63.png,"مسلمانوں کو امن و سلامتی کاپیغام دیتا ہے بلکہ وہ 
",,,,,
64.png,"غیر مسلموں کو بھی امن اور سلامتی کی ضمانت دیتاہے۔ 
",,,,,
65.png,"انہوں نے کہاکہ انسانی تاریخ میں کئی امراء، سلاطین اور 
",,,,,
66.png,"بادشاہوں نے اپنے اقتدارکو جائز قراردینے اور اسے دوام بخشنے 
",,,,,
67.png,"کیلئے مذہب کو بطور ڈھال استعمال کیا، ہمارے ملک میں 
",,,,,
68.png,"بھی یہی ہوا اورگزشتہ کئی برسوں سے کچھ عناصر مذہب 
",,,,,
69.png,"کونہ صرف اپنے مفادات کیلئے استعمال کررہے ہیں بلکہ معصوم 
",,,,,
70.png,"اورسادہ لوح مسلمانوں کی برین واشنگ کرکے اورانہیں غلط تربیت 
",,,,,
71.png,"دیکراس طرف دھکیل رہے ہیں اوران سے وہ عمل کراتے 
",,,,,
72.png,"ہیں جو اسلام کی تعلیمات کی کھلی نفی کے زمرے 
",,,,,
73.png,"میں آتاہے۔ الطاف حسین نے سوال کیاکہ اگر اسلام کی 
",,,,,
74.png,"غلط تشریح کی جائے اور امن وسلامتی کا درس دینے 
",,,,,
75.png,"والے مذہب اسلام کو اگر امن کے بجائے انتشار اور 
",,,,,
76.png,"سلامتی کے بجائے تباہی کا ذریعہ بنادیا جائے تو کیا 
",,,,,
77.png,"یہ عمل توہین اسلام کے زمرے میں نہیں آتا؟ اسلام 
",,,,,
78.png,"کے نام پر تشددکا عمل کرناکیا اسلام کی خدمت ہے؟ 
",,,,,
79.png,"کیایہ عمل تعلیماتِ رسولﷺ کی توہین کے زمرے میں نہیں 
",,,,,
80.png,"آتا؟ اگراسلام کے نام پر قبروں سے میتوں کونکال کر 
",,,,,
81.png,"سڑکوں اور چوراہوں پر لٹکایا جائے، نمازپڑھتے ہوئے نمازیوں پر 
",,,,,
82.png,"خودکش حملے کرکے انہیں شہیدکیا جائے، مساجد پرحملے کئے جائیں، 
",,,,,
83.png,"امام بارگاہوں پر حملے کئے جائیں، عزاداروں پر حملے کئے 
",,,,,
84.png,"جائیں، معصوم و بے گناہ مسلمانوں کو قتل کیا جائے 
",,,,,
85.png,"تو کیا یہ سارا عمل خلاف اسلام قرار نہیں پائے 
",,,,,
86.png,"گا؟ کئی اولیائے کرام، بزرگان دین جن کاشجرہء نسب حضرت 
",,,,,
87.png,"علی اور نبی آخرالزماں حضرت محمدمصطفے ﷺ سے جاملتاہے اور 
",,,,,
88.png,"جن بزرگان دین نے اپنے عمل وکردار اور تبلیغ سے 
",,,,,
89.png,"جہالت کی تاریکی میں اسلام کی روشنی پھیلائی اورکروڑوں لوگوں 
",,,,,
90.png,"کومسلمان کیا ان بزرگان دین کے مزاراتِ مقدسہ کوبموں سے 
",,,,,
91.png,"اڑانا اور ان کے مزارات کی توہین کرنا کیا رسول 
",,,,,
92.png,"اکرم ﷺ سے محبت کامظاہرہ ہے؟ کیا ایسے جلیل القدر 
",,,,,
93.png,"اولیائے کرام کے مزارات پرخودکش حملے کرنااوران کی توہین کرنا 
",,,,,
94.png,"توہینِ رسالتﷺ کے زمرے میں نہیں آتا؟ ایسا گھناوٴنا جرم 
",,,,,
95.png,"کرنے والوں کیخلاف کتنی مذہبی جماعتوں نے احتجاجی مظاہرے کئے؟۔ 
",,,,,
96.png,"انہوں نے کہا کہ مذہبی انتہاپسند عناصر نے اپنے مخصوص 
",,,,,
97.png,"مفادات کیلئے اسلام کے نام پرسادہ لوح نوجوانوں کو اس 
",,,,,
98.png,"قدرانتہاپسند اور جنونی بنادیا ہے کہ انہیں اللہ کے حضوررکوع 
",,,,,
99.png,"وسجود کرنے والے نمازیوں کوبموں سے اڑاتے وقت کوئی رحم 
",,,,,
